game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
1,100,2,14,27247,"2018-4-8",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,19,28,32643,"2018-4-8",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100,23,30,42594,"2018-4-8",1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100,12,3,40787,"2018-4-9",1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100,9,18,37276,"2018-4-9",1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100,5,8,37288,"2018-4-9",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100,21,10,37246,"2018-4-9",1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100,6,7,28953,"2018-4-9",1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,100,13,11,24724,"2018-4-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100,1,4,33283,"2018-4-9",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,100,27,24,25283,"2018-4-9",1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,100,15,22,42936,"2018-4-9",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,100,17,29,25039,"2018-4-9",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100,25,16,33091,"2018-4-9",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,100,26,20,40982,"2018-4-9",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,100,21,10,37101,"2018-4-10",1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,100,13,11,24747,"2018-4-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,100,2,14,27266,"2018-4-10",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,100,1,4,33343,"2018-4-10",1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,100,19,28,32659,"2018-4-10",1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,100,15,22,42593,"2018-4-10",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,100,17,29,25029,"2018-4-10",1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,100,23,30,43033,"2018-4-10",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,100,12,3,40617,"2018-4-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,9,18,37318,"2018-4-11",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,100,5,8,37199,"2018-4-11",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,100,21,10,37246,"2018-4-11",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,100,6,7,28713,"2018-4-11",1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,100,13,11,24852,"2018-4-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,100,2,14,27128,"2018-4-11",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,100,1,4,33278,"2018-4-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,100,19,28,32302,"2018-4-11",1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,100,27,24,25595,"2018-4-11",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
