park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
1,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9310,0.9310,0.9310,1.0000,1.0000,0.9310,0.9310,0.9310,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,7,330,371,387,400,375,363,330,5,5,8,8,8,5,5,"Angel Stadium","default_grass.jpg","default_grass.jpg",0,45483,0,0,0,0,"./angel_stadium_of_anaheim/","angel_stadium_of_anaheim.pod",1
2,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0540,1.0540,1.0540,1.0000,1.0000,1.0540,1.0540,1.0540,32,36,44,53,63,72,77,75,67,55,46,37,3,3,4,4,3,3,3,3,3,3,3,3,9,6,333,349,364,400,373,346,318,7,7,7,7,7,25,25,"Oriole Park at Camden Yards","oriole_park_at_camden_yards_d.webp","oriole_park_at_camden_yards_n.webp",0,45971,0,0,0,0,"./oriole_park_at_camden_yards/","oriole_park_at_camden_yards.pod",1
3,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.1130,1.1130,1.1130,1.0000,1.0000,1.1130,1.1130,1.1130,29,32,39,48,59,68,74,72,65,54,45,35,4,3,4,4,4,3,3,3,3,3,4,3,12,6,310,335,379,390,383,380,302,37,37,18,9,9,3,3,"Fenway Park II","default_grass.jpg","default_grass.jpg",0,37499,0,0,0,0,"","",1
4,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9490,0.9490,0.9490,1.0000,1.0000,0.9490,0.9490,0.9490,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,7,330,352,372,400,372,352,335,8,8,8,8,8,8,8,"U.S. Cellular Field","default_grass.jpg","default_grass.jpg",0,40615,0,0,0,0,"./us_cellular_field/","us_cellular_field.pod",1
5,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.1340,1.1340,1.1340,1.0000,1.0000,1.1340,1.1340,1.1340,26,28,38,48,59,68,72,70,63,52,42,31,6,5,5,5,4,4,3,3,3,3,5,5,11,1,325,348,370,405,375,350,325,19,19,19,9,9,14,14,"Progressive Field","default_grass.jpg","default_grass.jpg",0,42487,0,0,0,0,"./progressive_field/","progressive_field.pod",1
6,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9770,0.9770,0.9770,1.0000,1.0000,0.9770,0.9770,0.9770,25,27,37,48,60,69,74,72,64,52,41,30,4,4,4,4,4,3,3,3,3,3,4,4,10,6,345,370,398,420,403,356,330,8,8,9,8,14,8,8,"Comerica Park","comerica_park_d.webp","comerica_park_n.webp",0,41681,0,0,0,0,"./comerica_park/","comerica_park.pod",0
7,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0560,1.0560,1.0560,1.0000,1.0000,1.0560,1.0560,1.0560,27,33,44,54,64,74,79,77,68,57,43,31,3,3,3,4,4,3,3,3,3,3,3,3,11,1,330,362,385,410,385,362,330,8,8,8,8,8,8,8,"Kauffman Stadium","kauffman_stadium_d.webp","kauffman_stadium_n.webp",0,37903,0,0,0,0,"./kauffman_stadium/","kauffman_stadium.pod",1
8,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0110,1.0110,1.0110,1.0000,1.0000,1.0110,1.0110,1.0110,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,358,377,404,378,367,328,8,8,8,8,23,23,23,"Target Field","default_grass.jpg","default_grass.jpg",0,39021,0,0,0,0,"./target_field/","target_field.pod",1
9,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0170,1.0170,1.0170,1.0000,1.0000,1.0170,1.0170,1.0170,32,34,41,50,60,69,75,74,67,57,47,37,3,3,4,4,4,3,3,3,3,3,3,3,12,2,318,359,392,408,385,353,314,8,8,7,7,9,10,10,"Yankee Stadium III","default_grass.jpg","default_grass.jpg",0,57545,0,0,0,0,"","",1
10,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9320,0.9320,0.9320,1.0000,1.0000,0.9320,0.9320,0.9320,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,7,330,367,388,400,388,367,330,8,8,15,8,15,8,8,"Oakland Alameda County Coliseum","default_grass.jpg","default_grass.jpg",0,35067,0,0,0,0,"","",1
