player_id,league_id,team_id,sub_league_id,award_id,year,season,position,day,month
29,100,26,1,0,2002,2002,0,24,6
29,100,26,1,0,2002,2002,0,9,9
29,100,26,1,2,2004,2004,0,1,6
29,100,26,1,9,2004,2004,0,11,7
29,100,26,1,7,2005,2005,9,8,11
29,100,26,1,11,2005,2005,9,10,11
29,100,9,0,0,2008,2008,0,4,8
29,100,1,0,0,2011,2011,0,26,9
83,100,25,1,0,2001,2001,0,25,6
135,100,20,1,13,2000,2000,0,10,11
136,100,25,1,9,2002,2002,0,8,7
181,100,20,1,9,2000,2000,0,9,7
187,100,5,0,9,2000,2000,0,9,7
187,100,5,0,7,2000,2000,4,9,11
187,100,5,0,0,2001,2001,0,30,4
187,100,5,0,0,2001,2001,0,28,5
187,100,5,0,9,2001,2001,0,8,7
187,100,5,0,0,2001,2001,0,24,9
187,100,5,0,11,2001,2001,4,15,11
187,100,5,0,5,2001,2001,0,19,11
193,100,21,1,0,2000,2000,0,25,9
193,100,17,1,0,2004,2004,0,23,8
193,100,25,1,0,2007,2007,0,17,9
245,100,1,0,7,2001,2001,7,13,11
245,100,1,0,0,2002,2002,0,27,5
245,100,1,0,11,2002,2002,7,11,11
245,100,1,0,9,2003,2003,0,13,7
245,100,1,0,0,2003,2003,0,8,9
245,100,1,0,15,2004,2004,0,29,10
245,100,1,0,14,2004,2004,0,30,10
245,100,1,0,15,2005,2005,2,9,10
257,100,6,0,13,2001,2001,0,14,11
294,100,30,1,14,2000,2000,0,31,10
294,100,30,1,14,2002,2002,0,31,10
355,100,18,1,0,2006,2006,0,29,5
355,100,18,1,7,2013,2013,1,5,11
399,100,29,1,9,2000,2000,0,9,7
399,100,29,1,9,2001,2001,0,8,7
399,100,29,1,14,2001,2001,0,4,11
399,100,29,1,11,2001,2001,6,15,11
399,100,29,1,9,2002,2002,0,8,7
401,100,21,1,9,2001,2001,0,8,7
401,100,21,1,7,2003,2003,2,2,11
449,100,21,1,2,2000,2000,0,1,7
449,100,21,1,9,2000,2000,0,9,7
449,100,21,1,2,2001,2001,0,1,7
449,100,21,1,0,2001,2001,0,2,7
449,100,21,1,9,2001,2001,0,8,7
449,100,21,1,0,2001,2001,0,9,7
449,100,21,1,0,2002,2002,0,20,5
449,100,21,1,9,2002,2002,0,8,7
449,100,21,1,0,2003,2003,0,18,8
562,100,13,0,7,2005,2005,2,8,11
641,100,24,1,9,2003,2003,0,13,7
641,100,17,1,9,2004,2004,0,11,7
641,100,17,1,0,2004,2004,0,26,7
641,100,17,1,0,2004,2004,0,16,8
641,100,17,1,11,2004,2004,2,10,11
641,100,17,1,9,2005,2005,0,10,7
641,100,17,1,9,2006,2006,0,9,7
641,100,17,1,7,2006,2006,2,12,11
709,100,11,0,1,2007,2007,0,1,6
711,100,14,0,0,2000,2000,0,26,6
711,100,14,0,0,2001,2001,0,16,4
711,100,2,0,9,2001,2001,0,8,7
711,100,2,0,0,2003,2003,0,1,9
838,100,19,1,9,2000,2000,0,9,7
861,100,5,0,0,2005,2005,0,20,6
861,100,5,0,14,2005,2005,0,30,10
861,100,5,0,11,2005,2005,4,10,11
862,100,15,1,9,2000,2000,0,9,7
862,100,15,1,15,2000,2000,2,8,10
875,100,22,1,11,2002,2002,5,11,11
875,100,22,1,0,2003,2003,0,28,4
875,100,22,1,9,2003,2003,0,13,7
875,100,22,1,2,2003,2003,0,1,10
875,100,22,1,9,2004,2004,0,11,7
875,100,22,1,0,2004,2004,0,2,8
875,100,22,1,15,2004,2004,2,13,10
875,100,22,1,11,2004,2004,5,10,11
875,100,11,0,9,2005,2005,0,10,7
875,100,11,0,0,2005,2005,0,12,9
875,100,11,0,9,2007,2007,0,8,7
875,100,11,0,0,2008,2008,0,11,8
875,100,11,0,7,2008,2008,5,7,11
875,100,11,0,7,2009,2009,5,11,11
875,100,3,0,7,2010,2010,5,9,11
875,100,13,0,2,2012,2012,0,1,5
875,100,13,0,9,2012,2012,0,8,7
875,100,13,0,0,2012,2012,0,27,8
875,100,13,0,0,2012,2012,0,3,9
875,100,13,0,0,2013,2013,0,8,4
875,100,13,0,2,2013,2013,0,1,5
875,100,13,0,2,2013,2013,0,1,7
875,100,13,0,9,2013,2013,0,14,7
875,100,13,0,0,2014,2014,0,12,5
875,100,13,0,0,2014,2014,0,14,7
876,100,7,0,2,2001,2001,0,1,5
876,100,7,0,9,2001,2001,0,8,7
876,100,7,0,9,2002,2002,0,8,7
876,100,7,0,2,2002,2002,0,1,9
876,100,7,0,11,2002,2002,8,11,11
876,100,7,0,5,2002,2002,0,15,11
876,100,7,0,9,2003,2003,0,13,7
876,100,7,0,0,2003,2003,0,4,8
876,100,7,0,11,2003,2003,8,4,11
876,100,7,0,5,2003,2003,0,8,11
876,100,25,1,9,2005,2005,0,10,7
876,100,25,1,0,2005,2005,0,1,8
876,100,25,1,2,2005,2005,0,1,8
876,100,25,1,11,2005,2005,8,10,11
876,100,25,1,5,2005,2005,0,14,11
876,100,25,1,0,2006,2006,0,3,7
876,100,25,1,9,2006,2006,0,9,7
876,100,25,1,11,2006,2006,8,14,11
876,100,25,1,9,2007,2007,0,8,7
876,100,25,1,0,2007,2007,0,23,7
876,100,25,1,2,2007,2007,0,1,8
876,100,25,1,7,2007,2007,8,8,11
876,100,25,1,11,2007,2007,8,10,11
876,100,25,1,0,2008,2008,0,9,6
876,100,25,1,9,2008,2008,0,13,7
876,100,25,1,0,2008,2008,0,28,7
