player_id,team_id,league_id,uniform_number,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,last_day_on_waivers,options_used,option_used_this_year,has_received_arbitration,was_traded,trade_status
875,13,100,0,0,1,0,0,0,0,0,1,0,0,19,2,21,3434,443,3358,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
876,13,100,0,0,1,0,0,0,0,0,1,0,0,19,2,21,3366,400,3358,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
2611,25,100,0,0,1,0,0,0,0,0,1,0,0,18,4,22,3238,733,3152,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
5331,14,100,0,0,1,0,0,0,0,0,1,0,0,17,2,19,2924,344,3357,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9946,29,100,0,0,0,0,0,0,0,0,1,0,0,17,3,21,2972,539,3306,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
10365,3,100,0,0,1,0,0,0,0,0,1,0,0,20,3,23,3596,616,3358,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
10889,16,100,0,0,1,0,0,0,0,0,1,0,0,19,3,22,3308,666,3348,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
11770,28,100,0,0,1,0,0,0,0,0,1,0,0,17,0,18,2997,0,3247,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
14156,27,100,0,0,0,0,0,0,0,0,1,0,0,14,1,15,2408,172,2785,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
14736,11,100,0,0,0,0,0,0,0,0,1,0,0,3,1,7,534,172,748,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
15241,14,100,0,0,1,0,0,0,0,0,1,0,0,16,1,17,2752,172,3170,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15270,14,100,0,0,1,0,0,0,0,0,1,0,0,17,1,17,2924,172,3169,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15327,13,100,0,0,0,0,0,0,0,0,1,0,0,15,0,17,2723,0,3129,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15370,1,100,0,0,1,0,0,0,0,0,1,0,0,17,0,17,2924,0,3170,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15383,9,100,0,0,1,0,0,0,0,0,1,0,0,16,0,17,2843,0,3170,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15404,20,100,0,0,1,0,0,0,0,0,1,0,0,17,0,17,2924,0,3170,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15409,21,100,0,0,1,0,0,0,0,0,1,0,0,16,0,17,2876,0,3110,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15441,5,100,0,0,1,0,0,0,0,0,1,0,0,14,0,16,2483,0,2862,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15453,11,100,0,0,1,0,0,0,0,0,1,0,0,14,0,16,2479,0,2866,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15454,5,100,0,0,1,0,0,0,0,0,1,0,0,15,0,16,2580,0,2979,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15508,8,100,0,0,1,0,0,0,0,0,1,0,0,14,0,16,2534,0,2921,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15522,17,100,0,0,1,0,0,0,0,0,1,0,0,15,1,16,2580,172,2979,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15528,13,100,0,0,1,0,0,0,0,0,1,0,0,14,2,14,2408,344,2602,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15535,6,100,0,0,1,0,0,0,0,0,1,0,0,16,1,16,2752,172,2979,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15554,29,100,0,0,1,0,0,0,0,0,1,0,0,15,0,16,2580,0,2979,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15559,24,100,0,0,1,0,0,0,0,0,1,0,0,15,1,16,2580,172,2979,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15560,18,100,0,0,1,0,0,0,0,0,1,0,0,16,0,16,2752,0,2979,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15569,20,100,0,0,0,0,0,0,0,0,1,0,0,15,1,16,2580,172,2979,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15570,6,100,0,0,1,0,0,0,0,0,1,0,0,15,0,16,2696,0,2962,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15574,17,100,0,0,1,0,0,0,0,0,1,0,0,15,0,16,2580,0,2976,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15617,24,100,0,0,1,0,0,0,0,0,1,0,0,16,1,16,2752,172,2979,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15627,24,100,0,0,1,0,0,0,0,0,1,0,0,15,1,15,2580,172,2795,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15636,6,100,0,0,1,0,0,0,0,0,1,0,0,15,0,15,2580,0,2795,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15639,23,100,0,0,1,0,0,0,0,0,1,0,0,14,2,15,2408,344,2792,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15698,28,100,0,0,0,0,0,0,0,0,1,0,0,13,0,15,2396,0,2759,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15714,29,100,0,0,0,0,0,0,0,0,1,0,0,14,0,15,2408,0,2793,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15717,10,100,0,0,1,0,0,0,0,0,1,0,0,11,0,13,2019,0,2353,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15731,4,100,0,0,1,0,0,0,0,0,1,0,0,14,0,15,2525,0,2728,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
