player_id,league_id,streak_id,value,has_ended,started,ended
11,100,3,3,1,"2000-5-29","2000-6-14"
11,100,0,8,1,"2000-6-7","2000-7-15"
11,100,1,5,1,"2000-6-14","2000-6-27"
11,100,2,1,1,"2000-8-5","2000-8-6"
13,100,1,3,1,"2000-4-26","2000-5-12"
13,100,3,3,1,"2000-6-18","2000-7-27"
13,100,0,6,1,"2000-7-28","2000-9-6"
13,100,2,1,1,"2000-9-24","2000-9-28"
16,100,6,5,1,"2000-9-18","2001-5-22"
16,100,7,6,1,"2001-5-16","2001-6-19"
16,100,5,4,1,"2001-5-22","2001-6-19"
16,100,0,2,1,"2004-7-5","2004-7-24"
16,100,1,2,1,"2004-7-5","2004-7-24"
16,100,0,1,0,"2004-8-21",NULL
16,100,1,1,0,"2004-8-21",NULL
16,100,5,1,0,"2004-8-27",NULL
29,100,0,21,1,"2006-5-28","2006-6-20"
29,100,3,6,1,"2007-7-24","2007-7-31"
29,100,1,10,1,"2008-7-27","2008-8-6"
29,100,2,4,1,"2009-8-6","2009-8-10"
29,100,0,1,0,"2014-9-28",NULL
32,100,4,16,1,"2002-6-12","2002-8-19"
32,100,6,3,1,"2002-8-5","2003-7-26"
32,100,4,2,0,"2002-9-11",NULL
32,100,5,2,1,"2003-7-26","2003-8-4"
32,100,6,1,0,"2003-8-4",NULL
67,100,6,5,1,"2001-6-10","2001-7-17"
67,100,1,1,1,"2001-8-22","2001-8-27"
67,100,0,1,1,"2002-4-26","2002-5-1"
67,100,3,1,1,"2002-5-6","2002-5-12"
67,100,7,4,1,"2002-5-27","2002-6-22"
67,100,7,2,0,"2002-7-15",NULL
67,100,5,4,1,"2003-6-30","2003-7-25"
67,100,4,2,1,"2004-4-14","2004-5-4"
67,100,5,1,0,"2004-7-17",NULL
83,100,0,10,1,"2000-7-22","2000-8-4"
83,100,3,4,1,"2001-6-19","2001-6-23"
83,100,1,5,1,"2001-6-22","2001-6-27"
83,100,2,2,1,"2001-8-7","2001-8-10"
83,100,0,1,0,"2002-9-29",NULL
83,100,3,1,0,"2002-9-29",NULL
90,100,5,2,1,"2000-4-22","2000-4-29"
90,100,6,3,1,"2000-5-20","2000-6-18"
90,100,4,7,1,"2000-7-29","2000-8-29"
90,100,6,4,0,"2000-8-8",NULL
90,100,4,3,0,"2000-9-24",NULL
115,100,0,4,1,"2001-8-31","2001-9-7"
115,100,2,1,1,"2001-9-25","2001-9-29"
115,100,3,1,1,"2001-9-25","2001-9-29"
115,100,1,1,1,"2001-9-25","2001-9-29"
120,100,6,2,1,"2000-4-8","2000-6-23"
120,100,5,2,1,"2000-6-23","2000-10-1"
120,100,4,4,0,"2001-5-12",NULL
120,100,5,1,0,"2001-10-5",NULL
131,100,1,4,1,"2000-8-12","2000-8-25"
131,100,0,5,1,"2000-9-5","2000-9-16"
131,100,3,2,1,"2006-8-26","2006-9-3"
131,100,2,1,1,"2006-8-27","2006-9-3"
135,100,5,3,1,"2000-5-14","2000-7-3"
135,100,4,21,1,"2001-7-19","2002-4-11"
135,100,6,5,1,"2002-8-31","2005-5-9"
135,100,4,4,0,"2002-9-9",NULL
135,100,6,1,0,"2005-8-23",NULL
136,100,1,9,1,"2000-6-7","2000-6-21"
136,100,2,3,1,"2001-7-25","2001-7-28"
136,100,0,11,1,"2002-7-5","2002-7-19"
136,100,3,4,1,"2003-9-16","2003-9-20"
137,100,0,11,1,"2000-6-10","2000-6-25"
137,100,3,3,1,"2000-9-5","2000-9-9"
137,100,1,5,1,"2001-6-15","2001-6-23"
137,100,2,1,1,"2001-7-16","2001-7-17"
145,100,3,4,1,"2000-7-23","2000-7-30"
145,100,0,8,1,"2001-4-8","2001-5-12"
145,100,1,5,1,"2001-5-11","2001-5-16"
145,100,2,2,1,"2001-5-13","2001-5-15"
147,100,0,2,1,"2000-7-7","2000-9-18"
147,100,3,1,1,"2000-7-9","2000-9-18"
181,100,6,2,1,"2000-7-16","2000-8-18"
181,100,5,4,1,"2002-7-31","2003-6-13"
181,100,6,2,0,"2003-9-14",NULL
182,100,6,2,1,"2000-5-22","2000-9-5"
182,100,5,3,1,"2003-9-27","2004-8-3"
182,100,5,2,0,"2004-9-29",NULL
187,100,2,3,1,"2000-9-27","2000-9-30"
187,100,3,7,1,"2001-9-6","2001-9-20"
187,100,1,11,1,"2001-9-6","2001-9-24"
187,100,0,28,1,"2003-6-13","2003-7-23"
