player_id,team_id,league_id,offensive_value,offensive_value_talent,offensive_value_vsl,offensive_value_vsr,pitching_value,pitching_value_talent,pitching_value_vsl,pitching_value_vsr,overall_value,overall_value_vsl,overall_value_vsr,talent_value,career_value,leadoff_value_vsl,leadoff_value_vsr,running_value,stealing_value,season_performance,stats_value_0,stats_value_1,stats_value_2,stats_mod_0,stats_mod_1,stats_mod_2,ratings_value
875,13,100,838,908,792,759,0,0,0,0,889,860,824,981,445,272,269,3,0,0.0000,0,1057,1086,0,32,100,834
876,13,100,666,844,668,632,0,0,0,0,703,711,673,899,352,238,233,6,0,0.0000,0,393,802,0,4,100,687
2611,25,100,0,0,0,0,691,974,658,705,499,658,705,1038,250,0,0,0,0,0.0000,0,0,748,0,0,100,458
5331,14,100,0,0,0,0,513,734,469,499,356,469,499,462,178,0,0,0,0,0.0000,0,0,788,0,0,67,313
9946,29,100,0,0,0,0,308,986,294,314,197,294,314,604,99,0,0,0,0,0.0000,0,0,0,0,0,0,197
10365,3,100,595,1314,464,554,0,0,0,0,596,465,555,1316,298,208,220,2,0,0.0000,0,515,1050,0,30,100,530
10889,16,100,643,714,521,615,0,0,0,0,699,578,682,805,350,244,259,3,0,0.0000,0,582,1096,0,18,60,657
11770,28,100,808,845,638,763,0,0,0,0,907,755,897,991,454,593,640,119,22,0.0000,0,986,1058,0,60,34,864
14156,27,100,0,0,0,0,226,764,208,206,155,208,206,505,78,0,0,0,0,0.0000,0,0,321,0,0,42,144
14736,11,100,0,0,0,0,687,702,678,696,431,678,696,441,216,0,0,0,0,0.0000,0,0,0,0,0,0,431
15241,14,100,0,0,0,0,506,760,500,511,315,500,511,467,158,0,0,0,0,0.0000,0,0,267,0,0,6,315
15270,14,100,0,0,0,0,758,897,806,828,797,806,828,965,399,0,0,0,0,0.0000,0,524,1084,0,100,100,886
15327,13,100,0,0,0,0,512,860,519,543,323,519,543,526,162,0,0,0,0,0.0000,0,0,267,0,0,54,327
15370,1,100,641,877,669,656,0,0,0,0,655,692,679,902,328,319,317,57,3,0.0000,0,583,697,0,100,100,684
15383,9,100,0,0,0,0,711,857,644,607,570,644,607,914,285,0,0,0,0,0.0000,0,869,1003,0,52,100,425
15404,20,100,674,676,585,699,0,0,0,0,719,638,755,735,360,488,523,114,11,0.0000,0,872,579,0,20,63,727
15409,21,100,633,822,681,637,0,0,0,0,668,734,687,887,334,246,241,20,0,0.0000,0,531,952,0,83,55,701
15441,5,100,562,812,570,557,0,0,0,0,571,579,566,825,286,249,248,39,2,0.0000,0,0,636,0,0,34,569
15453,11,100,380,945,329,396,0,0,0,0,418,365,434,1000,209,477,504,142,25,0.0000,0,0,393,0,0,15,418
