team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2000,100,0,2,1,0,5748,1428,6447,0,1677,867,510,576,980,885,1608,1578,23895,0,162,162,63,99,36,1120,306,15,61,36,215,6,0,16,53,47,158,164,50,61,22,402,4,3,84,31,49,14.4958,0.2918,0.3576,0.4697,0.8273,10.5693,5.4643,1.3550,3.6303,0.0247,0.0000,0.3086,0.3889,3.1481,0.6207,0.3607,0.3930,5.5777,143.0838,0.0000,1.5777,0.5047,1.5052,0.3093
1,2001,100,0,2,1,0,5740,1436,6369,0,1593,935,587,502,862,784,1525,1642,23197,1,162,162,67,95,34,1057,308,16,50,35,193,2,0,19,36,61,153,123,84,59,23,382,9,4,90,53,45,13.5094,0.2775,0.3394,0.4443,0.7836,9.9817,5.8587,1.2093,3.1455,0.0556,0.0000,0.5185,0.4136,3.6235,0.5965,0.3898,0.4005,4.9125,140.5879,0.0000,1.4586,0.4815,1.8625,0.3003
1,2002,100,0,2,1,0,5523,1438,6089,0,1399,1024,652,420,713,668,1530,1563,22353,2,162,162,92,70,47,903,290,28,39,33,173,5,2,19,52,77,153,128,87,70,18,322,9,8,65,40,42,11.8610,0.2533,0.3129,0.4117,0.7247,8.7519,6.4059,1.0823,2.6274,0.0556,0.0000,0.5370,0.5679,4.0247,0.7231,0.2571,0.4752,4.1789,137.9815,0.0000,1.2644,0.4947,2.4381,0.2809
1,2003,100,0,2,1,0,5680,1460,6270,0,1494,965,558,455,741,684,1606,1603,22770,0,162,162,86,76,41,986,308,29,43,27,173,8,0,25,56,63,151,146,91,63,20,358,11,6,65,28,41,12.4027,0.2630,0.3224,0.4181,0.7405,9.2096,5.9486,1.0664,2.8048,0.0679,0.0000,0.5617,0.5309,3.4444,0.6721,0.3175,0.4218,4.2164,139.6933,0.0000,1.3349,0.5005,2.1209,0.2881
1,2004,100,0,2,1,0,5690,1471,6297,0,1443,1140,654,483,708,670,1596,1503,23374,0,162,162,90,72,42,926,311,21,49,32,174,2,1,20,60,53,139,104,95,57,15,290,23,10,76,42,26,12.1081,0.2536,0.3154,0.4112,0.7266,8.8287,6.9748,1.0646,2.9551,0.1420,0.0000,0.5864,0.5556,4.0370,0.7368,0.2632,0.4793,4.0993,142.5244,0.0000,1.3093,0.5150,2.3602,0.2868
1,2005,100,0,2,1,0,5551,1442,6025,0,1400,1050,616,371,624,576,1537,1542,21820,2,162,162,97,65,45,959,263,19,33,30,148,2,0,21,27,51,141,120,101,56,11,318,21,9,85,51,46,11.3665,0.2522,0.3034,0.3904,0.6937,8.7338,6.5504,0.9233,2.3145,0.1296,0.0000,0.6235,0.5988,3.8025,0.8036,0.1964,0.4434,3.5933,133.8650,0.0000,1.2276,0.4992,2.8302,0.2855
1,2006,100,0,2,1,0,5609,1453,6230,0,1451,1135,492,502,711,653,1533,1474,23033,1,162,162,74,88,43,957,304,16,44,32,158,5,0,19,44,59,147,143,94,57,13,371,15,9,84,43,37,12.4596,0.2587,0.3238,0.4088,0.7326,8.9856,7.0287,0.9784,3.1087,0.0926,0.0000,0.5802,0.4568,3.0370,0.7679,0.2281,0.3962,4.0438,137.9222,0.0000,1.3438,0.5098,2.2610,0.2966
1,2007,100,0,2,1,0,5624,1461,6150,0,1404,1176,656,431,621,579,1523,1483,22802,1,162,162,102,60,51,975,263,15,30,30,136,2,1,13,49,49,143,139,103,64,11,361,19,17,87,38,40,11.6031,0.2496,0.3071,0.3796,0.6868,8.6469,7.2427,0.8376,2.6544,0.1173,0.0000,0.6358,0.6296,4.0494,0.8226,0.1719,0.3961,3.5659,139.0366,0.0000,1.2557,0.5067,2.7285,0.2920
1,2008,100,0,2,1,0,5776,1451,6359,0,1549,1090,543,472,820,740,1532,1576,23587,2,163,163,74,89,40,1031,307,18,34,34,177,3,0,28,48,59,151,113,69,60,20,463,12,8,105,24,57,12.8955,0.2682,0.3280,0.4250,0.7531,9.6034,6.7577,1.0974,2.9263,0.0736,0.0000,0.4233,0.4540,3.3313,0.6667,0.3333,0.3261,4.5878,140.3988,0.0000,1.3922,0.4929,2.3093,0.3020
1,2009,100,0,2,1,0,5580,1446,6196,0,1468,1077,526,490,726,685,1557,1493,22929,0,162,162,84,78,49,975,288,20,50,32,173,1,1,17,51,55,151,135,79,65,14,399,11,6,107,40,49,12.5290,0.2631,0.3260,0.4192,0.7452,9.1369,6.7033,1.0768,3.0498,0.0679,0.0000,0.4877,0.5185,3.2469,0.7778,0.2154,0.3784,4.2635,139.8110,0.0000,1.3541,0.5105,2.1980,0.2957
