team_id,g,w,l,pos,pct,gb,streak,magic_number
1,0,0,0,1,0.0000,0.0000,0,163
2,0,0,0,2,0.0000,0.0000,0,163
3,0,0,0,5,0.0000,0.0000,0,163
4,0,0,0,1,0.0000,0.0000,0,163
5,0,0,0,2,0.0000,0.0000,0,163
6,0,0,0,5,0.0000,0.0000,0,163
7,0,0,0,3,0.0000,0.0000,0,163
8,0,0,0,4,0.0000,0.0000,0,163
9,0,0,0,1,0.0000,0.0000,0,163
10,0,0,0,3,0.0000,0.0000,0,163
11,0,0,0,4,0.0000,0.0000,0,163
12,0,0,0,4,0.0000,0.0000,0,163
13,0,0,0,5,0.0000,0.0000,0,163
14,0,0,0,3,0.0000,0.0000,0,163
15,0,0,0,4,0.0000,0.0000,0,163
16,0,0,0,2,0.0000,0.0000,0,163
17,0,0,0,4,0.0000,0.0000,0,163
18,0,0,0,2,0.0000,0.0000,0,163
19,0,0,0,1,0.0000,0.0000,0,163
20,0,0,0,3,0.0000,0.0000,0,163
21,0,0,0,2,0.0000,0.0000,0,163
22,0,0,0,3,0.0000,0.0000,0,163
23,0,0,0,3,0.0000,0.0000,0,163
24,0,0,0,4,0.0000,0.0000,0,163
25,0,0,0,5,0.0000,0.0000,0,163
26,0,0,0,1,0.0000,0.0000,0,163
27,0,0,0,1,0.0000,0.0000,0,163
28,0,0,0,5,0.0000,0.0000,0,163
29,0,0,0,2,0.0000,0.0000,0,163
30,0,0,0,5,0.0000,0.0000,0,163
31,0,0,0,0,0.0000,0.0000,0,0
32,0,0,0,0,0.0000,0.0000,0,0
